                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88219,                 3.4234,                 1.4955,                0.00341,                0.92857,                0.24096,                 0.1417,                 1.0837,                 4.4265,                 1.7535,                 0.0002,                 0.0002,                 0.0002
                      1,                0.66239,                 2.6862,                 1.3278,                0.54065,                0.29563,                0.37749,                0.21318,                 1.1512,                 3.6988,                 2.2073,             0.00040188,             0.00040188,             0.00040188
                      2,                0.74287,                 2.0636,                 1.3811,                0.67586,                0.57937,                0.51755,                 0.2608,                  1.769,                 4.2984,                 2.6509,             0.00059545,             0.00059545,             0.00059545
                      3,                0.74665,                 1.7927,                 1.3715,                0.56448,                0.53699,                0.51669,                0.29023,                 1.6259,                 3.7904,                 2.7113,              0.0007807,              0.0007807,              0.0007807
                      4,                0.74678,                 1.7294,                 1.3634,                0.81878,                  0.625,                0.76612,                0.50419,                 1.1633,                  3.259,                  2.138,              0.0009208,              0.0009208,              0.0009208
                      5,                 0.7233,                 1.5233,                 1.3351,                0.64955,                0.66268,                0.76177,                0.45723,                  1.425,                 2.6565,                  1.963,              0.0009208,              0.0009208,              0.0009208
                      6,                0.70037,                  1.417,                 1.3115,                0.59449,                0.61314,                0.55122,                0.35304,                   1.52,                 3.5067,                 2.1662,               0.000901,               0.000901,               0.000901
                      7,                0.68384,                 1.4044,                 1.2935,                0.68177,                0.78591,                0.81509,                0.53622,                 1.1858,                 2.4628,                 1.8673,              0.0008812,              0.0008812,              0.0008812
                      8,                0.69463,                 1.3005,                 1.2973,                 0.8108,                0.79751,                0.89217,                0.64443,                0.96996,                 2.0718,                 1.5987,              0.0008614,              0.0008614,              0.0008614
                      9,                0.63643,                 1.2782,                 1.2613,                 0.6989,                0.76838,                0.83137,                0.60069,                 1.2456,                 2.1345,                 1.8465,              0.0008416,              0.0008416,              0.0008416
                     10,                0.65292,                 1.2138,                 1.2703,                0.71455,                0.66526,                0.72097,                0.52904,                 1.2671,                  2.331,                 1.8415,              0.0008218,              0.0008218,              0.0008218
                     11,                0.67291,                 1.1729,                 1.2853,                0.79761,                0.78793,                0.86688,                0.59055,                 1.1885,                 2.1104,                 1.8603,               0.000802,               0.000802,               0.000802
                     12,                0.64856,                 1.1449,                 1.2651,                0.71188,                0.77388,                0.85534,                0.58538,                 1.3099,                 2.1241,                 2.0427,              0.0007822,              0.0007822,              0.0007822
                     13,                0.61218,                 1.1252,                 1.2617,                0.97257,                0.88502,                0.95889,                0.58867,                 1.2516,                 1.6651,                 1.7821,              0.0007624,              0.0007624,              0.0007624
                     14,                0.61322,                 1.0319,                 1.2458,                0.77236,                0.79515,                0.85385,                0.65085,                 1.1656,                 1.5851,                 1.8503,              0.0007426,              0.0007426,              0.0007426
                     15,                0.56877,                 1.0568,                 1.2119,                0.80649,                0.79269,                0.85417,                0.70198,                0.81651,                 1.7112,                 1.3721,              0.0007228,              0.0007228,              0.0007228
                     16,                0.55354,                 1.0273,                 1.1966,                0.89246,                0.90228,                0.89668,                0.68116,                 0.8711,                 1.3612,                 1.4066,               0.000703,               0.000703,               0.000703
                     17,                0.57752,                0.93825,                 1.1996,                0.82972,                0.90608,                0.93121,                0.68944,                 1.0692,                 1.3516,                 1.5662,              0.0006832,              0.0006832,              0.0006832
                     18,                0.58911,                0.95933,                   1.21,                0.92384,                0.89288,                0.94762,                0.72996,                0.95231,                 1.2289,                 1.5637,              0.0006634,              0.0006634,              0.0006634
                     19,                0.58616,                0.93786,                 1.2277,                0.89181,                0.90932,                0.93559,                0.74338,                0.80771,                 1.1511,                 1.3211,              0.0006436,              0.0006436,              0.0006436
                     20,                0.54111,                0.88576,                 1.1727,                0.94224,                0.91773,                0.95966,                0.75211,                 0.8328,                 1.3347,                 1.3265,              0.0006238,              0.0006238,              0.0006238
                     21,                 0.5175,                0.84297,                 1.1764,                 0.9093,                 0.9341,                0.94403,                0.72893,                0.88643,                 1.2639,                 1.4033,               0.000604,               0.000604,               0.000604
                     22,                0.55075,                0.86377,                 1.1679,                0.85388,                0.93056,                0.94784,                0.75023,                0.83689,                 1.2288,                 1.3836,              0.0005842,              0.0005842,              0.0005842
                     23,                0.51504,                0.83728,                 1.1636,                 0.9022,                  0.818,                0.93432,                0.70932,                0.94931,                 1.2956,                 1.5695,              0.0005644,              0.0005644,              0.0005644
                     24,                0.52268,                0.79182,                 1.1607,                0.92775,                0.97222,                0.96585,                0.74607,                0.92194,                 1.1071,                 1.4893,              0.0005446,              0.0005446,              0.0005446
                     25,                0.47132,                0.73924,                 1.1272,                0.88793,                0.85615,                0.90605,                 0.7029,                 0.9157,                 1.1477,                 1.5409,              0.0005248,              0.0005248,              0.0005248
                     26,                0.49635,                0.75717,                 1.1661,                0.91798,                  0.911,                 0.9636,                0.75243,                0.85229,                 1.1268,                 1.4543,               0.000505,               0.000505,               0.000505
                     27,                0.50044,                0.73241,                 1.1547,                0.86397,                0.91703,                0.92781,                0.72143,                0.87124,                 1.0957,                 1.4902,              0.0004852,              0.0004852,              0.0004852
                     28,                0.48947,                0.69474,                 1.1408,                0.88215,                0.97013,                0.96979,                0.77787,                0.80268,                0.98145,                 1.3783,              0.0004654,              0.0004654,              0.0004654
                     29,                0.45833,                0.66591,                 1.1091,                0.93401,                0.92023,                0.95691,                0.75522,                0.84633,                0.97933,                  1.429,              0.0004456,              0.0004456,              0.0004456
                     30,                0.45561,                0.67084,                 1.1264,                0.89915,                 0.9246,                0.93352,                0.73818,                0.89606,                 1.0667,                 1.4837,              0.0004258,              0.0004258,              0.0004258
                     31,                0.45881,                0.70086,                 1.1231,                 0.9364,                0.92329,                0.93198,                0.71849,                0.95269,                 1.0385,                 1.5226,               0.000406,               0.000406,               0.000406
                     32,                0.44784,                0.68161,                 1.1129,                0.95088,                0.88275,                0.93895,                0.73693,                0.91322,                0.93347,                 1.5333,              0.0003862,              0.0003862,              0.0003862
                     33,                0.44684,                0.63451,                 1.1082,                0.89071,                0.97222,                0.95118,                0.74822,                0.79134,                0.85709,                 1.3601,              0.0003664,              0.0003664,              0.0003664
                     34,                0.43761,                0.65532,                  1.118,                0.91086,                 0.9382,                0.93926,                0.73415,                0.81052,                0.90205,                 1.3688,              0.0003466,              0.0003466,              0.0003466
                     35,                0.44832,                0.66819,                  1.108,                0.84962,                0.96479,                0.94458,                 0.7449,                0.77515,                0.88808,                 1.3259,              0.0003268,              0.0003268,              0.0003268
                     36,                0.39541,                0.60424,                 1.0852,                0.92317,                0.94157,                0.95277,                0.76305,                0.85337,                 0.9156,                 1.3781,               0.000307,               0.000307,               0.000307
                     37,                0.40967,                  0.616,                 1.0853,                0.83504,                0.92416,                0.93886,                0.75823,                0.87487,                 1.0875,                 1.4229,              0.0002872,              0.0002872,              0.0002872
                     38,                0.40425,                0.60273,                 1.0812,                0.90167,                0.92129,                0.95956,                0.77113,                 0.8529,                 1.0577,                 1.4407,              0.0002674,              0.0002674,              0.0002674
                     39,                0.38341,                0.57573,                 1.0698,                0.92643,                0.94085,                0.94918,                0.77432,                0.82724,                0.83618,                  1.415,              0.0002476,              0.0002476,              0.0002476
                     40,                0.34858,                0.73155,                 1.0904,                0.93943,                0.92874,                0.93186,                0.74739,                0.81416,                0.88474,                 1.5293,              0.0002278,              0.0002278,              0.0002278
                     41,                0.30255,                 0.5937,                 1.0804,                0.94433,                0.92873,                0.93352,                0.75852,                0.78924,                0.98168,                 1.4644,               0.000208,               0.000208,               0.000208
                     42,                0.31274,                0.58696,                 1.0684,                0.95249,                0.93135,                0.92883,                0.75409,                0.78549,                0.96332,                 1.4434,              0.0001882,              0.0001882,              0.0001882
                     43,                0.28911,                 0.5317,                 1.0666,                0.94365,                0.95498,                0.95066,                0.77523,                0.77893,                0.84237,                 1.4277,              0.0001684,              0.0001684,              0.0001684
                     44,                0.28417,                0.51811,                 1.0585,                0.93318,                0.96735,                0.95091,                0.77205,                0.78874,                0.80905,                 1.4093,              0.0001486,              0.0001486,              0.0001486
                     45,                0.25571,                0.51377,                 1.0281,                0.95317,                0.95525,                0.94783,                0.75995,                0.76546,                0.86831,                 1.3637,              0.0001288,              0.0001288,              0.0001288
                     46,                0.25355,                0.48297,                 1.0343,                0.94925,                0.95958,                0.94795,                0.75793,                0.78204,                0.82532,                 1.3889,               0.000109,               0.000109,               0.000109
                     47,                0.25179,                0.47207,                 1.0387,                0.94973,                0.93909,                0.92911,                 0.7583,                0.79489,                0.81709,                 1.4674,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.27051,                0.47289,                 1.0554,                0.94921,                0.92676,                0.93108,                0.76955,                0.74399,                 0.8196,                  1.375,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                  0.258,                0.47606,                 1.0307,                0.94522,                0.92758,                0.93884,                0.77297,                0.75806,                0.78757,                 1.3991,               4.96e-05,               4.96e-05,               4.96e-05
